Start,End,Total duration,Alarm text,Alarm class
02/10/2018 04:00,02/10/2018 04:00,14,a,S
02/10/2018 04:00,02/10/2018 04:00,9,c,O
02/10/2018 04:02,02/10/2018 04:05,204,a,S
02/10/2018 04:02,02/10/2018 04:05,199,c,O
02/10/2018 04:06,02/10/2018 04:06,3,a,S
02/10/2018 04:08,02/10/2018 04:08,3,a,S
02/10/2018 04:10,02/10/2018 04:10,32,a,S
02/10/2018 04:10,02/10/2018 04:10,27,c,O
02/10/2018 04:11,02/10/2018 04:11,4,a,S
02/10/2018 04:14,02/10/2018 04:14,6,a,S
02/10/2018 04:14,02/10/2018 04:14,2,c,O
02/10/2018 04:15,02/10/2018 04:15,8,a,S
02/10/2018 04:15,02/10/2018 04:15,3,c,O
02/10/2018 04:16,02/10/2018 04:16,22,a,S
02/10/2018 04:16,02/10/2018 04:16,19,c,O
02/10/2018 04:19,02/10/2018 04:20,62,a,S
02/10/2018 04:19,02/10/2018 04:20,57,c,O
02/10/2018 04:22,02/10/2018 04:22,2,a,S
02/10/2018 04:24,02/10/2018 04:24,17,a,S
02/10/2018 04:24,02/10/2018 04:24,12,c,O
02/10/2018 04:26,02/10/2018 04:26,7,a,S
02/10/2018 04:26,02/10/2018 04:26,2,c,O
02/10/2018 04:27,02/10/2018 04:27,15,a,S
02/10/2018 04:27,02/10/2018 04:27,11,c,O
02/10/2018 04:28,02/10/2018 04:28,21,a,S
02/10/2018 04:28,02/10/2018 04:28,16,c,O
02/10/2018 04:30,02/10/2018 06:00,5400,b,E
02/10/2018 04:30,02/10/2018 06:00,5400,a,S
02/10/2018 06:02,02/10/2018 06:04,148,a,S
02/10/2018 06:02,02/10/2018 06:04,143,c,O
02/10/2018 06:09,02/10/2018 06:12,161,a,S
02/10/2018 06:30,02/10/2018 06:33,129,a,S
02/10/2018 06:45,02/10/2018 06:52,420,b,E
02/10/2018 06:45,02/10/2018 06:52,420,a,S
02/10/2018 07:34,02/10/2018 07:36,96,a,S
02/10/2018 07:34,02/10/2018 07:36,92,c,O
02/10/2018 07:38,02/10/2018 07:38,2,a,S
02/10/2018 07:40,02/10/2018 07:40,5,a,S
02/10/2018 07:40,02/10/2018 07:40,1,c,O
02/10/2018 07:42,02/10/2018 07:43,5,a,S
02/10/2018 07:44,02/10/2018 07:46,121,a,S
02/10/2018 07:44,02/10/2018 07:46,117,c,O
02/10/2018 07:47,02/10/2018 07:47,20,a,S
02/10/2018 07:47,02/10/2018 07:47,15,c,O
02/10/2018 07:48,02/10/2018 07:48,7,a,S
02/10/2018 07:48,02/10/2018 07:48,3,c,O
02/10/2018 07:52,02/10/2018 07:53,57,a,S
